eventID,measurementID,measurementType,measurementValue,measurementUnit,measurementDeterminedDate,measurementDeterminedBy,measurementMethod,measurementRemarks
LiloanMPA:S02:2015-03:physicochemical,LiloanMPA:S02:2015-03:physicochemical:BOD,Biochemical Oxygen Demand,< 2,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,azide modification (dilution) technique,detection limit 2 mg/L
LiloanMPA:S03:2015-03:physicochemical,LiloanMPA:S03:2015-03:physicochemical:BOD,Biochemical Oxygen Demand,< 2,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,azide modification (dilution) technique,detection limit 2 mg/L
LiloanMPA:S04:2015-03:physicochemical,LiloanMPA:S04:2015-03:physicochemical:BOD,Biochemical Oxygen Demand,< 2,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,azide modification (dilution) technique,detection limit 2 mg/L
LiloanMPA:S05:2015-03:physicochemical,LiloanMPA:S05:2015-03:physicochemical:BOD,Biochemical Oxygen Demand,< 2,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,azide modification (dilution) technique,detection limit 2 mg/L
LiloanMPA:S06:2015-03:physicochemical,LiloanMPA:S06:2015-03:physicochemical:BOD,Biochemical Oxygen Demand,< 2,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,azide modification (dilution) technique,detection limit 2 mg/L
LiloanMPA:S07:2015-03:physicochemical,LiloanMPA:S07:2015-03:physicochemical:BOD,Biochemical Oxygen Demand,< 2,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,azide modification (dilution) technique,detection limit 2 mg/L
LiloanMPA:S08:2015-03:physicochemical,LiloanMPA:S08:2015-03:physicochemical:BOD,Biochemical Oxygen Demand,< 2,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,azide modification (dilution) technique,detection limit 2 mg/L
LiloanMPA:S09:2015-03:physicochemical,LiloanMPA:S09:2015-03:physicochemical:BOD,Biochemical Oxygen Demand,< 2,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,azide modification (dilution) technique,detection limit 2 mg/L
LiloanMPA:S10:2015-03:physicochemical,LiloanMPA:S10:2015-03:physicochemical:BOD,Biochemical Oxygen Demand,< 2,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,azide modification (dilution) technique,detection limit 2 mg/L
LiloanMPA:S11:2016-03:physicochemical,LiloanMPA:S11:2016-03:physicochemical:BOD,Biochemical Oxygen Demand,< 2,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,azide modification (dilution) technique,detection limit 2 mg/L
LiloanMPA:S12:2016-03:physicochemical,LiloanMPA:S12:2016-03:physicochemical:BOD,Biochemical Oxygen Demand,< 2,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,azide modification (dilution) technique,detection limit 2 mg/L
LiloanMPA:S13:2016-03:physicochemical,LiloanMPA:S13:2016-03:physicochemical:BOD,Biochemical Oxygen Demand,< 2,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,azide modification (dilution) technique,detection limit 2 mg/L
LiloanMPA:S14:2016-03:physicochemical,LiloanMPA:S14:2016-03:physicochemical:BOD,Biochemical Oxygen Demand,< 2,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,azide modification (dilution) technique,detection limit 2 mg/L
LiloanMPA:S15:2016-03:physicochemical,LiloanMPA:S15:2016-03:physicochemical:BOD,Biochemical Oxygen Demand,3.1,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,azide modification (dilution) technique,detection limit 2 mg/L
LiloanMPA:S16:2016-03:physicochemical,LiloanMPA:S16:2016-03:physicochemical:BOD,Biochemical Oxygen Demand,3.4,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,azide modification (dilution) technique,detection limit 2 mg/L
LiloanMPA:S17:2016-03:physicochemical,LiloanMPA:S17:2016-03:physicochemical:BOD,Biochemical Oxygen Demand,5.6,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,azide modification (dilution) technique,detection limit 2 mg/L
LiloanMPA:S18:2016-03:physicochemical,LiloanMPA:S18:2016-03:physicochemical:BOD,Biochemical Oxygen Demand,< 2,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,azide modification (dilution) technique,detection limit 2 mg/L
LiloanMPA:S19:2016-03:physicochemical,LiloanMPA:S19:2016-03:physicochemical:BOD,Biochemical Oxygen Demand,< 2,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,azide modification (dilution) technique,detection limit 2 mg/L
LiloanMPA:S20:2016-03:physicochemical,LiloanMPA:S20:2016-03:physicochemical:BOD,Biochemical Oxygen Demand,< 2,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,azide modification (dilution) technique,detection limit 2 mg/L
LiloanMPA:S01:2015-03:physicochemical,LiloanMPA:S01:2015-03:physicochemical:TSS,Total Suspended Solid,1.1,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,gravimetric,detection limit 1 mg/L
LiloanMPA:S02:2015-03:physicochemical,LiloanMPA:S02:2015-03:physicochemical:TSS,Total Suspended Solid,< 1,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,gravimetric,detection limit 1 mg/L
LiloanMPA:S03:2015-03:physicochemical,LiloanMPA:S03:2015-03:physicochemical:TSS,Total Suspended Solid,1.8,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,gravimetric,detection limit 1 mg/L
LiloanMPA:S04:2015-03:physicochemical,LiloanMPA:S04:2015-03:physicochemical:TSS,Total Suspended Solid,3.2,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,gravimetric,detection limit 1 mg/L
LiloanMPA:S05:2015-03:physicochemical,LiloanMPA:S05:2015-03:physicochemical:TSS,Total Suspended Solid,< 1,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,gravimetric,detection limit 1 mg/L
LiloanMPA:S06:2015-03:physicochemical,LiloanMPA:S06:2015-03:physicochemical:TSS,Total Suspended Solid,2.2,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,gravimetric,detection limit 1 mg/L
LiloanMPA:S07:2015-03:physicochemical,LiloanMPA:S07:2015-03:physicochemical:TSS,Total Suspended Solid,< 1,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,gravimetric,detection limit 1 mg/L
LiloanMPA:S08:2015-03:physicochemical,LiloanMPA:S08:2015-03:physicochemical:TSS,Total Suspended Solid,< 1,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,gravimetric,detection limit 1 mg/L
LiloanMPA:S09:2015-03:physicochemical,LiloanMPA:S09:2015-03:physicochemical:TSS,Total Suspended Solid,< 1,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,gravimetric,detection limit 1 mg/L
LiloanMPA:S10:2015-03:physicochemical,LiloanMPA:S10:2015-03:physicochemical:TSS,Total Suspended Solid,< 1,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,gravimetric,detection limit 1 mg/L
LiloanMPA:S11:2016-03:physicochemical,LiloanMPA:S11:2016-03:physicochemical:TSS,Total Suspended Solid,< 1,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,gravimetric,detection limit 1 mg/L
LiloanMPA:S12:2016-03:physicochemical,LiloanMPA:S12:2016-03:physicochemical:TSS,Total Suspended Solid,1.4,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,gravimetric,detection limit 1 mg/L
LiloanMPA:S13:2016-03:physicochemical,LiloanMPA:S13:2016-03:physicochemical:TSS,Total Suspended Solid,1.5,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,gravimetric,detection limit 1 mg/L
LiloanMPA:S14:2016-03:physicochemical,LiloanMPA:S14:2016-03:physicochemical:TSS,Total Suspended Solid,1.6,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,gravimetric,detection limit 1 mg/L
LiloanMPA:S15:2016-03:physicochemical,LiloanMPA:S15:2016-03:physicochemical:TSS,Total Suspended Solid,1.5,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,gravimetric,detection limit 1 mg/L
LiloanMPA:S16:2016-03:physicochemical,LiloanMPA:S16:2016-03:physicochemical:TSS,Total Suspended Solid,2,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,gravimetric,detection limit 1 mg/L
LiloanMPA:S17:2016-03:physicochemical,LiloanMPA:S17:2016-03:physicochemical:TSS,Total Suspended Solid,3,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,gravimetric,detection limit 1 mg/L
LiloanMPA:S18:2016-03:physicochemical,LiloanMPA:S18:2016-03:physicochemical:TSS,Total Suspended Solid,1.2,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,gravimetric,detection limit 1 mg/L
LiloanMPA:S19:2016-03:physicochemical,LiloanMPA:S19:2016-03:physicochemical:TSS,Total Suspended Solid,1.3,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,gravimetric,detection limit 1 mg/L
LiloanMPA:S20:2016-03:physicochemical,LiloanMPA:S20:2016-03:physicochemical:TSS,Total Suspended Solid,1.2,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,gravimetric,detection limit 1 mg/L
LiloanMPA:S01:2015-03:physicochemical,LiloanMPA:S01:2015-03:physicochemical:P,Total Phosphates,< 0.01,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,chromotropic-colorimetric,detection limit 0.01 mg/L
LiloanMPA:S02:2015-03:physicochemical,LiloanMPA:S02:2015-03:physicochemical:P,Total Phosphates,< 0.01,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,chromotropic-colorimetric,detection limit 0.01 mg/L
LiloanMPA:S03:2015-03:physicochemical,LiloanMPA:S03:2015-03:physicochemical:P,Total Phosphates,< 0.01,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,chromotropic-colorimetric,detection limit 0.01 mg/L
LiloanMPA:S04:2015-03:physicochemical,LiloanMPA:S04:2015-03:physicochemical:P,Total Phosphates,< 0.01,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,chromotropic-colorimetric,detection limit 0.01 mg/L
LiloanMPA:S05:2015-03:physicochemical,LiloanMPA:S05:2015-03:physicochemical:P,Total Phosphates,< 0.01,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,chromotropic-colorimetric,detection limit 0.01 mg/L
LiloanMPA:S06:2015-03:physicochemical,LiloanMPA:S06:2015-03:physicochemical:P,Total Phosphates,< 0.01,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,chromotropic-colorimetric,detection limit 0.01 mg/L
LiloanMPA:S07:2015-03:physicochemical,LiloanMPA:S07:2015-03:physicochemical:P,Total Phosphates,< 0.01,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,chromotropic-colorimetric,detection limit 0.01 mg/L
LiloanMPA:S08:2015-03:physicochemical,LiloanMPA:S08:2015-03:physicochemical:P,Total Phosphates,< 0.01,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,chromotropic-colorimetric,detection limit 0.01 mg/L
LiloanMPA:S09:2015-03:physicochemical,LiloanMPA:S09:2015-03:physicochemical:P,Total Phosphates,0.02,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,chromotropic-colorimetric,detection limit 0.01 mg/L
LiloanMPA:S10:2015-03:physicochemical,LiloanMPA:S10:2015-03:physicochemical:P,Total Phosphates,< 0.01,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,chromotropic-colorimetric,detection limit 0.01 mg/L
LiloanMPA:S11:2016-03:physicochemical,LiloanMPA:S11:2016-03:physicochemical:P,Total Phosphates,< 0.01,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,chromotropic-colorimetric,detection limit 0.01 mg/L
LiloanMPA:S12:2016-03:physicochemical,LiloanMPA:S12:2016-03:physicochemical:P,Total Phosphates,0.02,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,chromotropic-colorimetric,detection limit 0.01 mg/L
LiloanMPA:S13:2016-03:physicochemical,LiloanMPA:S13:2016-03:physicochemical:P,Total Phosphates,< 0.01,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,chromotropic-colorimetric,detection limit 0.01 mg/L
LiloanMPA:S14:2016-03:physicochemical,LiloanMPA:S14:2016-03:physicochemical:P,Total Phosphates,< 0.01,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,chromotropic-colorimetric,detection limit 0.01 mg/L
LiloanMPA:S15:2016-03:physicochemical,LiloanMPA:S15:2016-03:physicochemical:P,Total Phosphates,< 0.01,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,chromotropic-colorimetric,detection limit 0.01 mg/L
LiloanMPA:S16:2016-03:physicochemical,LiloanMPA:S16:2016-03:physicochemical:P,Total Phosphates,< 0.01,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,chromotropic-colorimetric,detection limit 0.01 mg/L
LiloanMPA:S17:2016-03:physicochemical,LiloanMPA:S17:2016-03:physicochemical:P,Total Phosphates,0.04,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,chromotropic-colorimetric,detection limit 0.01 mg/L
LiloanMPA:S18:2016-03:physicochemical,LiloanMPA:S18:2016-03:physicochemical:P,Total Phosphates,< 0.01,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,chromotropic-colorimetric,detection limit 0.01 mg/L
LiloanMPA:S19:2016-03:physicochemical,LiloanMPA:S19:2016-03:physicochemical:P,Total Phosphates,< 0.01,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,chromotropic-colorimetric,detection limit 0.01 mg/L
LiloanMPA:S20:2016-03:physicochemical,LiloanMPA:S20:2016-03:physicochemical:P,Total Phosphates,< 0.01,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,chromotropic-colorimetric,detection limit 0.01 mg/L
LiloanMPA:S01:2015-03:physicochemical,LiloanMPA:S01:2015-03:physicochemical:N,Nitrates,< 0.01,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,stannous chloride reduction,detection limit 0.01 mg/L
LiloanMPA:S02:2015-03:physicochemical,LiloanMPA:S02:2015-03:physicochemical:N,Nitrates,< 0.01,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,stannous chloride reduction,detection limit 0.01 mg/L
LiloanMPA:S03:2015-03:physicochemical,LiloanMPA:S03:2015-03:physicochemical:N,Nitrates,< 0.01,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,stannous chloride reduction,detection limit 0.01 mg/L
LiloanMPA:S04:2015-03:physicochemical,LiloanMPA:S04:2015-03:physicochemical:N,Nitrates,< 0.01,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,stannous chloride reduction,detection limit 0.01 mg/L
LiloanMPA:S05:2015-03:physicochemical,LiloanMPA:S05:2015-03:physicochemical:N,Nitrates,0.23,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,stannous chloride reduction,detection limit 0.01 mg/L
LiloanMPA:S06:2015-03:physicochemical,LiloanMPA:S06:2015-03:physicochemical:N,Nitrates,< 0.01,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,stannous chloride reduction,detection limit 0.01 mg/L
LiloanMPA:S07:2015-03:physicochemical,LiloanMPA:S07:2015-03:physicochemical:N,Nitrates,< 0.01,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,stannous chloride reduction,detection limit 0.01 mg/L
LiloanMPA:S08:2015-03:physicochemical,LiloanMPA:S08:2015-03:physicochemical:N,Nitrates,< 0.01,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,stannous chloride reduction,detection limit 0.01 mg/L
LiloanMPA:S09:2015-03:physicochemical,LiloanMPA:S09:2015-03:physicochemical:N,Nitrates,< 0.01,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,stannous chloride reduction,detection limit 0.01 mg/L
LiloanMPA:S10:2015-03:physicochemical,LiloanMPA:S10:2015-03:physicochemical:N,Nitrates,< 0.01,mg/L,2015-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,stannous chloride reduction,detection limit 0.01 mg/L
LiloanMPA:S11:2016-03:physicochemical,LiloanMPA:S11:2016-03:physicochemical:N,Nitrates,< 0.01,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,stannous chloride reduction,detection limit 0.01 mg/L
LiloanMPA:S12:2016-03:physicochemical,LiloanMPA:S12:2016-03:physicochemical:N,Nitrates,< 0.01,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,stannous chloride reduction,detection limit 0.01 mg/L
LiloanMPA:S13:2016-03:physicochemical,LiloanMPA:S13:2016-03:physicochemical:N,Nitrates,< 0.01,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,stannous chloride reduction,detection limit 0.01 mg/L
LiloanMPA:S14:2016-03:physicochemical,LiloanMPA:S14:2016-03:physicochemical:N,Nitrates,< 0.01,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,stannous chloride reduction,detection limit 0.01 mg/L
LiloanMPA:S15:2016-03:physicochemical,LiloanMPA:S15:2016-03:physicochemical:N,Nitrates,< 0.01,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,stannous chloride reduction,detection limit 0.01 mg/L
LiloanMPA:S16:2016-03:physicochemical,LiloanMPA:S16:2016-03:physicochemical:N,Nitrates,< 0.01,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,stannous chloride reduction,detection limit 0.01 mg/L
LiloanMPA:S17:2016-03:physicochemical,LiloanMPA:S17:2016-03:physicochemical:N,Nitrates,< 0.01,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,stannous chloride reduction,detection limit 0.01 mg/L
LiloanMPA:S18:2016-03:physicochemical,LiloanMPA:S18:2016-03:physicochemical:N,Nitrates,< 0.01,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,stannous chloride reduction,detection limit 0.01 mg/L
LiloanMPA:S19:2016-03:physicochemical,LiloanMPA:S19:2016-03:physicochemical:N,Nitrates,< 0.01,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,stannous chloride reduction,detection limit 0.01 mg/L
LiloanMPA:S20:2016-03:physicochemical,LiloanMPA:S20:2016-03:physicochemical:N,Nitrates,< 0.01,mg/L,2016-03,Fleurdeliz Maglangit | Brisneve Edullantes | Eukene Bensig | FAST Laboratories,stannous chloride reduction,detection limit 0.01 mg/L
LiloanMPA:S01:2015-03:physicochemical,LiloanMPA:S01:2015-03:physicochemical:pH,pH,8.32,no unit,2015-03,Angelito Ortiz |Lorraine Louise Vicentuan,pH meter,
LiloanMPA:S02:2015-03:physicochemical,LiloanMPA:S02:2015-03:physicochemical:pH,pH,8.5,no unit,2015-03,Angelito Ortiz |Lorraine Louise Vicentuan,pH meter,
LiloanMPA:S03:2015-03:physicochemical,LiloanMPA:S03:2015-03:physicochemical:pH,pH,8.51,no unit,2015-03,Angelito Ortiz |Lorraine Louise Vicentuan,pH meter,
